Time_2 (s),f3_2 (Hz),D3_2 (ppm),f5_2 (Hz),D5_2 (ppm),f7_2 (Hz),D7_2 (ppm),f9_2 (Hz),D9_2 (ppm),f11_2 (Hz),D11_2 (ppm),f13_2 (Hz),D13_2 (ppm),Time_3 (s),f3_3 (Hz),D3_3 (ppm),f5_3 (Hz),D5_3 (ppm),f7_3 (Hz),D7_3 (ppm),f9_3 (Hz),D9_3 (ppm),f11_3 (Hz),D11_3 (ppm),f13_3 (Hz),D13_3 (ppm),Time_4 (s),f3_4 (Hz),D3_4 (ppm),f5_4 (Hz),D5_4 (ppm),f7_4 (Hz),D7_4 (ppm),f9_4 (Hz),D9_4 (ppm),f11_4 (Hz),D11_4 (ppm),f13_4 (Hz),D13_4 (ppm)
2390.82,14853915.25,8.21,24750932.46,6.81,34646904.18,6.22,44543877.52,5.50,54440663.03,6.33,64338169.81,6.87,2373.71,14855367.98,16.16,24754626.68,9.92,34652403.08,7.15,44550950.93,7.19,54449278.92,8.56,64348270.08,9.41,2385.53,14847648.54,16.08,24742043.64,10.45,34635016.00,7.59,44528820.40,7.68,54422422.74,9.55,64316743.76,9.95
2463.45,14853915.08,8.21,24750932.06,6.82,34646903.58,6.21,44543876.78,5.50,54440662.16,6.33,64338168.77,6.87,2450.80,14855376.66,15.45,24754630.17,8.54,34652396.25,6.27,44550943.47,6.51,54449255.03,7.43,64348182.79,9.28,2458.16,14847648.48,16.07,24742043.56,10.45,34635015.90,7.59,44528820.26,7.68,54422422.57,9.55,64316743.54,9.95
2535.13,14853914.91,8.21,24750931.71,6.82,34646903.08,6.20,44543876.15,5.50,54440661.38,6.33,64338167.86,6.87,2520.58,14855373.25,15.71,24754628.59,9.06,34652398.42,6.60,44550945.76,6.76,54449263.32,7.86,64348214.87,9.33,2529.84,14847648.40,16.07,24742043.45,10.45,34635015.73,7.59,44528820.05,7.68,54422422.29,9.55,64316743.24,9.95
2620.02,14853914.71,8.21,24750931.28,6.82,34646902.48,6.20,44543875.42,5.50,54440660.49,6.33,64338166.77,6.87,2602.46,14855367.61,16.15,24754626.04,9.91,34652402.17,7.15,44550949.78,7.19,54449277.48,8.56,64348268.39,9.41,2614.73,14847648.31,16.07,24742043.29,10.45,34635015.50,7.59,44528819.74,7.68,54422421.91,9.55,64316742.82,9.95
2691.87,14853914.55,8.21,24750930.89,6.82,34646901.97,6.19,44543874.78,5.50,54440659.71,6.33,64338165.84,6.87,2673.17,14855371.90,15.80,24754627.70,9.23,34652398.64,6.71,44550945.92,6.85,54449265.38,7.99,64348224.59,9.34,2686.58,14847648.24,16.07,24742043.20,10.45,34635015.37,7.59,44528819.57,7.68,54422421.71,9.55,64316742.56,9.95
2773.38,14853914.59,8.23,24750930.38,6.83,34646901.40,6.18,44543874.09,5.50,54440658.91,6.33,64338164.79,6.87,2751.00,14855367.38,16.15,24754625.64,9.91,34652401.60,7.15,44550949.05,7.19,54449276.56,8.56,64348267.65,9.41,2768.09,14847648.15,16.06,24742043.06,10.45,34635015.17,7.59,44528819.30,7.68,54422421.38,9.55,64316742.17,9.95
2850.48,14853915.04,8.29,24750928.51,6.85,34646900.02,6.12,44543873.31,5.51,54440658.15,6.34,64338163.34,6.88,2837.84,14855376.05,15.44,24754629.11,8.54,34652394.75,6.27,44550941.54,6.51,54449252.66,7.43,64348179.93,9.28,2845.20,14847648.07,16.06,24742042.95,10.45,34635015.03,7.59,44528819.12,7.68,54422421.15,9.55,64316741.88,9.95
2927.29,14853915.24,8.34,24750927.55,6.85,34646898.93,6.08,44543872.71,5.51,54440657.47,6.34,64338162.38,6.88,2909.73,14855367.13,16.15,24754625.23,9.91,34652401.01,7.14,44550948.30,7.19,54449275.66,8.56,64348266.22,9.40,2922.00,14847647.99,16.06,24742042.83,10.45,34635014.83,7.59,44528818.86,7.68,54422420.83,9.55,64316741.52,9.95
2996.31,14853915.30,8.37,24750926.79,6.85,34646898.01,6.04,44543872.09,5.51,54440656.76,6.34,64338161.44,6.87,2980.89,14855372.53,15.70,24754627.36,9.05,34652396.68,6.60,44550943.52,6.76,54449260.57,7.85,64348211.66,9.33,2991.02,14847647.91,16.06,24742042.72,10.45,34635014.69,7.59,44528818.70,7.68,54422420.62,9.55,64316741.26,9.95
3081.18,14853915.18,8.39,24750926.26,6.85,34646897.52,6.02,44543871.46,5.51,54440655.99,6.34,64338160.48,6.87,3063.65,14855366.91,16.14,24754624.84,9.91,34652400.46,7.14,44550947.60,7.19,54449274.79,8.56,64348265.21,9.40,3075.90,14847647.83,16.06,24742042.59,10.45,34635014.49,7.59,44528818.41,7.68,54422420.28,9.55,64316740.88,9.95
